ID,X,Y,Z,Radio (mm),Altura (mm),Aletas_Detectadas,Es_HeatStake_Potencial,Distancia_Origen
269,1962.95144705919,-719.552213085873,1211.43106233766,0.5,0.8586,4,True,2416.298613513052
416,1713.19390907637,-760.728879913524,1523.74447609198,0.5,0.808,4,True,2415.6860365642888
423,1761.95116711833,-764.293822354651,1464.1146737682,0.5,0.808,4,True,2415.004915138371
418,1722.80733593011,-760.728879913524,1508.35977715553,0.5,0.808,4,True,2412.866088868126
263,1951.43372142285,-735.452213085873,1212.32047379992,2.0,25.2131,2,False,2412.1990917073167
264,1951.43372142285,-735.452213085873,1212.32047379992,3.0,25.2968,12,True,2412.1990917073167
421,1748.81926318733,-764.293822354651,1473.65556044776,0.5,0.808,4,True,2411.259955505246
417,1712.4118034743,-760.728879913524,1512.5598448992,0.5,0.808,4,True,2408.0905086424973
422,1751.91928518904,-764.293822354651,1464.1146737682,0.5,0.808,4,True,2407.6955801450736
266,1942.63846858724,-719.552213085873,1219.80997205687,0.5,0.8586,4,True,2404.066549603221
268,1954.14701381418,-719.552213085873,1201.09162252375,0.5,0.8586,4,True,2403.969014911047
267,1941.59290270577,-719.552213085873,1206.27007351889,0.5,0.8586,4,True,2396.3776575200877
150,1970.79501058776,-730.567091313621,1139.26813844174,0.5,0.8167,4,True,2390.751584739946
149,1972.65839885585,-730.567091313621,1130.61876650234,0.5,0.8167,4,True,2388.1809455429134
144,1965.76895906663,-744.067091313621,1133.6861427222,2.0,21.4104,2,False,2388.1222135824946
145,1965.76895906663,-744.067091313621,1133.6861427222,3.0,21.5476,12,True,2388.1222135824946
432,1681.25800536258,-775.669073868509,1502.14265989783,3.5,7.1608,3,True,2384.265833215063
146,1961.9982437007,-730.567091313621,1140.21721331688,0.5,0.8167,4,True,2383.9590341990333
434,1681.19999844681,-775.662486451425,1501.53037035928,1.0,6.7747,3,True,2383.837070937701
435,1676.29336879981,-782.790957541228,1501.94587896725,3.0,4.2588,3,True,2382.9734712827235
482,1674.8464050986,-792.998636347905,1496.51332527406,0.5,3.116,4,True,2381.9129813333157
148,1964.98066490139,-730.567091313621,1126.18602473696,0.5,0.8167,4,True,2379.742055488281
433,1675.70293853368,-782.280534776634,1495.13317458973,0.5,4.6001,3,True,2378.1014240480977
147,1958.39232669016,-730.567091313621,1132.11819110756,0.5,0.8167,4,True,2377.124392787638
480,1673.22341290453,-788.084009191235,1489.05918615609,1.0,3.0344,4,True,2374.457886531292
316,1633.1913951045,-762.124785733049,1529.94780864843,0.25,1.5638,2,False,2364.083039840217
319,1633.1913951045,-762.124785733049,1529.94780864843,0.25,1.5638,2,False,2364.083039840217
321,1632.83612683004,-762.124785733049,1529.97889059495,0.25,1.5638,2,False,2363.857739326994
318,1632.83612683004,-762.124785733049,1529.97889059495,0.25,1.5638,2,False,2363.857739326994
317,1633.16031315797,-762.124785733049,1529.59254037397,0.25,1.5638,2,False,2363.8316642837704
322,1633.16031315797,-762.124785733049,1529.59254037397,0.25,1.5638,2,False,2363.8316642837704
320,1632.80504488352,-762.124785733049,1529.6236223205,0.25,1.5638,2,False,2363.606339809277
315,1632.80504488352,-762.124785733049,1529.6236223205,0.25,1.5638,2,False,2363.606339809277
477,1650.72353981932,-775.237597375425,1503.24860511746,1.0,3.0829,4,True,2363.39541890172
479,1663.34870577924,-787.885478744031,1481.66400853297,1.0,3.0354,4,True,2362.7993310510255
156,1903.22610786211,-721.067091313621,1168.89902185823,0.5,0.808,4,True,2347.0262655378547
155,1907.60538739644,-721.067091313621,1161.19009575258,0.5,0.808,4,True,2346.7548876423575
114,1840.71781798671,-717.299999999988,1264.63313980568,0.5,0.8087,2,False,2345.6466813543148
151,1900.11053437024,-734.067091313621,1162.03077821753,3.0,17.9176,12,True,2345.120480252398
152,1900.11053437024,-734.067091313621,1162.03077821753,2.0,17.8285,2,False,2345.120480252398
112,1834.66825576929,-730.3,1260.11828299535,2.0,25.1437,2,False,2342.4866671694585
111,1834.66825576929,-730.3,1260.11828299535,3.0,25.1733,15,True,2342.4866671694585
115,1841.00054660022,-717.299999999994,1256.02174034038,0.5,0.808,4,True,2341.237475095164
157,1894.54121165647,-721.067091313621,1167.11626869545,0.5,0.808,4,True,2339.099086719894
153,1901.62703478925,-721.067091313621,1154.64296423975,0.5,0.808,4,True,2338.6584839358648
478,1608.62038738795,-757.773339348464,1514.72631097351,1.0,2.6153,2,False,2335.867244023705
154,1893.55293014694,-721.067091313621,1158.30554054166,0.5,0.808,4,True,2333.9134891193066
473,1602.81350957574,-783.466843495089,1504.48830854127,1.0,3.0618,4,True,2333.7344561607756
116,1832.72899766311,-717.299999999994,1252.83001523895,0.5,0.808,4,True,2333.0233423519035
113,1827.81422451683,-717.3,1257.54392277309,0.5,0.808,4,True,2331.7034217604933
446,1596.27353988767,-783.267559357597,1507.37307591343,0.5,2.6304,3,True,2331.0450175138694
415,1581.03156284774,-751.628879913523,1538.4389164483,0.5,0.808,4,True,2330.5366496760876
